---------------------------------------------------
                  Tie Point Pixel Residuals        
===================================================
PointId    Av.      Dev.        Nb.Obs.     State  
377        1040.98  1014.27     ( 7/ 7)      Used -
378         572.09   893.95     ( 7/ 7)      Used -
379          46.74    17.80     ( 7/ 7)      Used -
380          48.26    33.03     ( 7/ 7)      Used -
381        1150.36   620.03     ( 7/ 7)      Used -
382         310.35   624.12     ( 7/ 7)      Used -
383        1123.05  1676.63     ( 7/ 7)      Used -
384         340.52   198.34     ( 7/ 7)      Used -
385         757.54   809.21     ( 7/ 7)      Used -
386          84.81    55.25     ( 7/ 7)      Used -
387         923.45   876.63     ( 7/ 7)      Used -
388          51.49    31.30     ( 7/ 7)      Used -
389          58.99    41.07     ( 7/ 7)      Used -
390          56.37    32.42     ( 7/ 7)      Used -
391          60.87    40.32     ( 7/ 7)      Used -
392          68.18    37.93     ( 7/ 7)      Used -
393          56.23    30.37     ( 7/ 7)      Used -
394        1187.47   795.07     ( 7/ 7)      Used -
395          52.63    43.13     ( 7/ 7)      Used -
396          47.65    19.20     ( 7/ 7)      Used -
397          65.96    38.51     ( 7/ 7)      Used -
398        1319.33   848.22     ( 7/ 7)      Used -
399        1529.43  1077.30     ( 7/ 7)      Used -
400         526.17  1155.40     ( 7/ 7)      Used -
401          66.11    46.35     ( 7/ 7)      Used -
402        1440.14  1479.06     ( 7/ 7)      Used -
403         540.30   422.14     ( 7/ 7)      Used -
404          86.35    59.13     ( 7/ 7)      Used -
405        1292.53  1846.34     ( 7/ 7)      Used -
406          74.81    47.58     ( 7/ 7)      Used -
407          91.84    29.50     ( 7/ 7)      Used -
408         104.85    44.46     ( 7/ 7)      Used -
409         470.57   279.23     ( 7/ 7)      Used -
410          73.68    42.26     ( 7/ 7)      Used -
411          93.29    13.82     ( 7/ 7)      Used -
412         326.87   631.91     ( 7/ 7)      Used -
413         838.54  1206.73     ( 7/ 7)      Used -
414        1702.60  1041.58     ( 7/ 7)      Used -
415        1287.17  1891.73     ( 7/ 7)      Used -
416        1189.43  1234.67     ( 7/ 7)      Used -
417         323.62   122.16     ( 7/ 7)      Used -
418          69.37    48.09     ( 7/ 7)      Used -
419          97.86    43.42     ( 7/ 7)      Used -
420          98.52    41.85     ( 7/ 7)      Used -
421         806.98  1134.99     ( 7/ 7)      Used -
422          99.02    41.74     ( 7/ 7)      Used -
423          81.61    32.93     ( 7/ 7)      Used -
424          87.62    34.20     ( 7/ 7)      Used -
425          88.36    47.44     ( 7/ 7)      Used -
426          88.73    37.46     ( 7/ 7)      Used -
427         787.19   395.70     ( 7/ 7)      Used -
428          77.04    30.68     ( 7/ 7)      Used -
429         105.84    48.62     ( 7/ 7)      Used -
430         101.78    57.78     ( 7/ 7)      Used -
431          99.36    67.95     ( 7/ 7)      Used -
432          90.91    54.35     ( 7/ 7)      Used -
433         465.38   870.59     ( 7/ 7)      Used -
434         770.16   643.88     ( 7/ 7)      Used -
435          13.06     8.75     ( 7/ 7)      Used -
436          79.47    37.48     ( 7/ 7)      Used -
437          93.85    30.36     ( 7/ 7)      Used -
438          96.53    58.41     ( 7/ 7)      Used -
439        1302.77   597.58     ( 7/ 7)      Used -
440         253.04   467.04     ( 7/ 7)      Used -
441         105.55    70.70     ( 7/ 7)      Used -
442          43.47    18.10     ( 7/ 7)      Used -
443        1142.47   879.15     ( 7/ 7)      Used -
444         204.95   128.41     ( 7/ 7)      Used -
445        1067.90  1025.52     ( 7/ 7)      Used -
446         320.12   171.20     ( 7/ 7)      Used -
447          45.24    26.22     ( 7/ 7)      Used -
448          57.28    34.09     ( 7/ 7)      Used -
449         983.58  1012.22     ( 7/ 7)      Used -
450         493.17   676.76     ( 7/ 7)      Used -
451          89.93    51.30     ( 7/ 7)      Used -
452          77.90    33.60     ( 7/ 7)      Used -
453          47.74    26.53     ( 7/ 7)      Used -
454         609.59   364.07     ( 7/ 7)      Used -
455          68.24    48.73     ( 7/ 7)      Used -
456         789.51  1100.23     ( 7/ 7)      Used -
457         603.10   658.96     ( 7/ 7)      Used -
458          74.13    49.55     ( 7/ 7)      Used -
459          29.25    29.76     ( 7/ 7)      Used -
460        1646.82  1300.56     ( 7/ 7)      Used -
461          37.20    29.73     ( 7/ 7)      Used -
462         933.07  1112.77     ( 7/ 7)      Used -
463          75.62    54.26     ( 7/ 7)      Used -
464          98.42    44.53     ( 7/ 7)      Used -
465        1025.57   728.74     ( 7/ 7)      Used -
466          69.47    45.97     ( 7/ 7)      Used -
467          89.98    61.53     ( 7/ 7)      Used -
468          87.63    51.59     ( 7/ 7)      Used -
469        1222.05   583.05     ( 7/ 7)      Used -
470         756.72   800.70     ( 7/ 7)      Used -
471         422.88   829.96     ( 7/ 7)      Used -
472          31.24    24.73     ( 7/ 7)      Used -
473         100.47    16.80     ( 7/ 7)      Used -
474         267.91   483.95     ( 7/ 7)      Used -
475          71.34    47.08     ( 7/ 7)      Used -
476         733.36  1143.72     ( 7/ 7)      Used -
477          62.71    36.16     ( 7/ 7)      Used -
478          66.49    41.05     ( 7/ 7)      Used -
