-----------------------------------------------------
                   Tie Point Pixel Residuals         
=====================================================
PointId    Av.     Dev.       Nb.Obs.         State  
438          5.13    8.47     ( 7/ 7)          Used -
439          0.93    0.38     ( 7/ 7)          Used  
440          0.26    0.20     ( 7/ 7)          Used  
441          2.55    4.18     ( 7/ 7)          Used -
442          1.10    0.69     ( 7/ 7)          Used -
443          4.40    2.21     ( 4/ 7)          Used -
444        128.87  103.33     ( 5/ 7)          Used -
445          0.61    0.43     ( 7/ 7)          Used  
446          0.32    0.18     ( 7/ 7)          Used  
447          0.37    0.13     ( 7/ 7)          Used  
448          0.33    0.22     ( 7/ 7)          Used  
449          0.43    0.08     ( 5/ 7)          Used  
450          0.59    0.33     ( 5/ 7)          Used  
451          0.42    0.17     ( 7/ 7)          Used  
452          1.40    2.60     ( 7/ 7)          Used -
453          0.44    0.13     ( 7/ 7)          Used  
454         18.84    7.31     ( 2/ 7)          Used -
455          0.29    0.12     ( 7/ 7)          Used  
456          0.70    0.62     ( 5/ 7)          Used  
457          0.49    0.21     ( 7/ 7)          Used  
458          0.47    0.20     ( 7/ 7)          Used  
459          0.44    0.45     ( 7/ 7)          Used  
460          0.60    0.37     ( 4/ 7)          Used  
461          0.39    0.17     ( 7/ 7)          Used  
462          0.36    0.14     ( 7/ 7)          Used  
463          0.52    0.33     ( 7/ 7)          Used  
464          0.35    0.26     ( 7/ 7)          Used  
465          0.83    0.78     ( 6/ 7)          Used  
466          0.30    0.25     ( 7/ 7)          Used  
467          0.51    0.24     ( 7/ 7)          Used  
468          1.70    0.95     ( 7/ 7)          Used -
469          0.58    0.20     ( 6/ 7)          Used  
470          0.56    0.23     ( 5/ 7)          Used  
471          2.39    1.76     ( 7/ 7)          Used -
472          0.38    0.22     ( 7/ 7)          Used  
473          0.42    0.17     ( 7/ 7)          Used  
474          2.06    1.34     ( 6/ 7)          Used -
475          0.28    0.16     ( 7/ 7)          Used  
476          0.86    0.93     ( 5/ 7)          Used  
477          0.47    0.33     ( 7/ 7)          Used  
478          0.49    0.21     ( 7/ 7)          Used  
479          1.83    3.07     ( 7/ 7)          Used -
480          0.43    0.17     ( 5/ 7)          Used  
481          0.56    0.36     ( 7/ 7)          Used  
482          1.34    0.76     ( 4/ 7)          Used -
483        153.38  123.44     ( 6/ 7)          Used -
484          1.53    1.27     ( 5/ 7)          Used -
485          1.13    1.65     ( 7/ 7)          Used -
486          0.75    0.66     ( 7/ 7)          Used  
487          0.37    0.19     ( 4/ 7)          Used  
488          1.11    0.89     ( 7/ 7)          Used -
489          0.53    0.33     ( 4/ 7)          Used  
490          0.66    0.42     ( 7/ 7)          Used  
491          0.76    0.34     ( 7/ 7)          Used  
492          0.45    0.15     ( 7/ 7)          Used  
493          0.64    0.44     ( 5/ 7)          Used  
494          0.30    0.17     ( 7/ 7)          Used  
495          0.43    0.31     ( 7/ 7)          Used  
496          1.26    1.96     ( 7/ 7)          Used -
497          2.16    1.31     ( 6/ 6)          Used -
498          0.45    0.11     ( 4/ 6)          Used  
499          0.74    0.38     ( 6/ 6)          Used  
500          0.34    0.18     ( 6/ 6)          Used  
501          0.74    0.39     ( 6/ 6)          Used  
502          1.16    0.57     ( 6/ 6)          Used -
503          0.33    0.20     ( 6/ 6)          Used  
504          0.62    0.62     ( 6/ 6)          Used  
505          1.41    1.11     ( 6/ 6)          Used -
506          1.10    0.95     ( 6/ 6)          Used -
507          1.28    0.88     ( 6/ 6)          Used -
508          0.41    0.14     ( 5/ 6)          Used  
509          1.54    2.11     ( 6/ 6)          Used -
510          0.39    0.15     ( 6/ 6)          Used  
511          0.52    0.22     ( 6/ 6)          Used  
512          0.47    0.20     ( 6/ 6)          Used  
513          0.46    0.38     ( 6/ 6)          Used  
514          0.37    0.24     ( 6/ 6)          Used  
515          0.47    0.16     ( 6/ 6)          Used  
516          0.94    0.68     ( 6/ 6)          Used  
517          0.40    0.25     ( 6/ 6)          Used  
518          1.44    0.57     ( 6/ 6)          Used -
519        108.75   78.07     ( 3/ 6)          Used -
520          0.52    0.20     ( 6/ 6)          Used  
521          0.97    0.78     ( 6/ 6)          Used  
522          0.53    0.18     ( 6/ 6)          Used  
523          0.33    0.19     ( 6/ 6)          Used  
524          0.45    0.39     ( 6/ 6)          Used  
525          0.59    0.43     ( 3/ 6)          Used  
526          0.67    0.55     ( 6/ 6)          Used  
527          0.36    0.27     ( 6/ 6)          Used  
528          3.49    7.18     ( 6/ 6)          Used -
529          0.84    0.49     ( 6/ 6)          Used  
530          0.51    0.21     ( 6/ 6)          Used  
531          0.70    0.31     ( 6/ 6)          Used  
532          0.50    0.24     ( 6/ 6)          Used  
533          8.34    6.61     ( 6/ 6)          Used -
534          0.47    0.22     ( 6/ 6)          Used  
535          1.01    0.54     ( 4/ 6)          Used -
536          2.79    1.47     ( 5/ 6)          Used -
