---------------------------------------------------- beginning of /proc/kmsg
====================== ULOGCAT SESSION START  ======================
U 01-01 00:15:58.572 I LIBPHOTO_R2R(palermo-142/Img_FSM-345)        : R2R: mmap buffer 0: 0x69938000
U 01-01 00:15:58.573 I LIBPHOTO_R2R(palermo-142/Img_FSM-345)        : R2R: mmap buffer 1: 0x68270000
U 01-01 00:15:58.574 I LIBPHOTO_R2R(palermo-142/Img_FSM-345)        : R2R: mmap buffer 2: 0x66ba8000
U 01-01 00:15:58.575 I LIBPHOTO_R2R(palermo-142/Img_FSM-345)        : R2R: mmap buffer 3: 0x654e0000
U 01-01 00:15:58.581 I libHAL      (palermo-142/Img_FSM-345)        : [HAL_v4l2_utils->HAL_v4l2_utils_open_subdev():624] Found subdev /dev/v4l-subdev0 associated to dev /dev/video0
U 01-01 00:15:59.408 I libHAL      (palermo-142/Img_FSM-345)        : [HAL_v4l2_utils->HAL_v4l2_utils_open_subdev():624] Found subdev /dev/v4l-subdev5 associated to dev /dev/video4
U 01-01 00:15:59.493 I libHAL      (palermo-142/Img_FSM-345)        : [HAL_v4l2_utils->HAL_v4l2_utils_open_subdev():624] Found subdev /dev/v4l-subdev4 associated to dev /dev/video3
U 01-01 00:15:59.563 I libHAL      (palermo-142/Img_FSM-345)        : [HAL_v4l2_utils->HAL_v4l2_utils_open_subdev():624] Found subdev /dev/v4l-subdev3 associated to dev /dev/video2
U 01-01 00:15:59.629 I libHAL      (palermo-142/Img_FSM-345)        : [HAL_v4l2_utils->HAL_v4l2_utils_open_subdev():624] Found subdev /dev/v4l-subdev2 associated to dev /dev/video1
U 01-01 00:15:59.711 I LIBCAM_V4L2 (palermo-142/Img_MainCam-373)    : Run cam /dev/video0 in multithreaded mode
U 01-01 00:15:59.721 I PLRM_server (palermo-142/Img_FSM-345)        : New status: 0x00003009
U 01-01 00:15:59.724 I pomp_comm_c (mtp-server-272/client_pomp-319) : client_generated_message_handler: received event SICILIA_ASYNC_EVT_STATUS
U 01-01 00:15:59.725 I pomp_comm_c (civetitf-107/client_pomp-201)   : client_generated_message_handler: received event SICILIA_ASYNC_EVT_STATUS
U 01-01 00:15:59.727 I pomp_comm_s (palermo-142/MainLoop-233)       : server_generated_message_handler: received event SICILIA_CTRL_STATUS
U 01-01 00:15:59.728 I pomp_comm_c (civetitf-107/civetitf-205)      : client_generated_message_handler: received event SICILIA_CTRL_STATUS
U 01-01 00:15:59.761 I pomp_comm_c (civetitf-107/civetitf-205)      : client_generated_message_handler: received event SICILIA_ERROR
U 01-01 00:15:59.984 I LIBIMAG_MAIN(palermo-142/Img_MainCam-373)    : PhotoSystemInternal::onStart
U 01-01 00:15:59.984 I LIBIMAG_MAIN(palermo-142/Img_MainCam-373)    : PhotoSystemInternal::onStart maincam capture
U 01-01 00:15:59.988 I IMAGING_P2A (palermo-142/Img_2A-375)         : STATS 2A CROP: [ 256, 240]-[4351,3215]
K 01-01 00:00:00.501 D KERNEL                                       : p7:	install CAM_2_DATA01 I/O pin function
K 01-01 00:00:00.501 D KERNEL                                       : p7:	install CAM_2_DATA02 I/O pin function
K 01-01 00:00:00.501 D KERNEL                                       : p7:	install CAM_2_DATA03 I/O pin function
